dataset,design,holdout,model,method,iter,n_train,n_test,auc,acer,apcer,bpcer,acc,dev_eer,train_loss,train_acc
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s1,1,36000,24000,0.9927,0.1125,0.2210,0.0040,0.9053,0.0021,0.0095,0.9971
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s4,3,12000,24000,0.9656,0.1356,0.2273,0.0440,0.8794,0.0308,0.0022,0.9993
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s3,4,12000,24000,0.9791,0.0867,0.1311,0.0424,0.9205,0.0251,0.0039,0.9982
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s4,4,12000,24000,0.9788,0.1032,0.1829,0.0235,0.9099,0.0186,0.0035,0.9989
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s3,5,12000,24000,0.9871,0.0760,0.1354,0.0166,0.9337,0.0138,0.0018,0.9995
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s0,2,36000,24000,0.9921,0.0952,0.1870,0.0034,0.9198,0.0027,0.0069,0.9973
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s4,5,12000,24000,0.9832,0.0748,0.1243,0.0253,0.9333,0.0192,0.0047,0.9979
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s1,2,36000,24000,0.9847,0.1244,0.2394,0.0093,0.8945,0.0055,0.0088,0.9971
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s3,6,12000,24000,0.9877,0.0546,0.0777,0.0315,0.9492,0.0235,0.0020,0.9997
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s4,6,12000,24000,0.9724,0.0945,0.1460,0.0429,0.9140,0.0356,0.0033,0.9991
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s3,7,12000,24000,0.9751,0.1066,0.1922,0.0211,0.9074,0.0174,0.0005,0.9999
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s4,7,12000,24000,0.9842,0.0950,0.1728,0.0172,0.9177,0.0154,0.0002,0.9999
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s0,3,36000,24000,0.9836,0.1288,0.2478,0.0098,0.8907,0.0037,0.0032,0.9989
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s1,3,36000,24000,0.9942,0.0950,0.1856,0.0045,0.9198,0.0034,0.0038,0.9989
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s3,8,36000,24000,0.9943,0.1111,0.2174,0.0048,0.9063,0.0034,0.0055,0.9982
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s4,8,36000,24000,0.9475,0.1297,0.2308,0.0286,0.8869,0.0213,0.0083,0.9974
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s0,4,36000,24000,0.9867,0.1012,0.1921,0.0103,0.9137,0.0052,0.0057,0.9979
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s1,4,36000,24000,0.9936,0.1005,0.1960,0.0051,0.9151,0.0039,0.0037,0.9987
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s2,1,36000,24000,0.9898,0.0949,0.1822,0.0077,0.9194,0.0056,0.0099,0.9968
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s0,5,36000,24000,0.9971,0.0747,0.1454,0.0039,0.9369,0.0017,0.0025,0.9992
